revenue,expenses,currentAssets,currentLiabilities,totalAssets,totalDebt,equity,cashFlow,month_ahead,future_cashFlow
6863737.376404759,5884801.412483288,2912572.0956423082,1158842.3230021405,5424061.190635947,2116929.3176817102,3307131.8729542363,963456.9015730261,1,87291.76358726455
6863737.376404759,5884801.412483288,2912572.0956423082,1158842.3230021405,5424061.190635947,2116929.3176817102,3307131.8729542363,963456.9015730261,2,119124.64026912868
6863737.376404759,5884801.412483288,2912572.0956423082,1158842.3230021405,5424061.190635947,2116929.3176817102,3307131.8729542363,963456.9015730261,3,78292.12879540032
6863737.376404759,5884801.412483288,2912572.0956423082,1158842.3230021405,5424061.190635947,2116929.3176817102,3307131.8729542363,963456.9015730261,4,69978.0331928934
6863737.376404759,5884801.412483288,2912572.0956423082,1158842.3230021405,5424061.190635947,2116929.3176817102,3307131.8729542363,963456.9015730261,5,82880.64673969493
6863737.376404759,5884801.412483288,2912572.0956423082,1158842.3230021405,5424061.190635947,2116929.3176817102,3307131.8729542363,963456.9015730261,6,81481.58165146108
28620069.77676007,18913542.589746732,17123082.98942085,9339669.791025758,38083622.63411288,15475576.745509293,22608045.888603587,10299858.724067697,1,831663.6429433468
28620069.77676007,18913542.589746732,17123082.98942085,9339669.791025758,38083622.63411288,15475576.745509293,22608045.888603587,10299858.724067697,2,856934.6829956903
28620069.77676007,18913542.589746732,17123082.98942085,9339669.791025758,38083622.63411288,15475576.745509293,22608045.888603587,10299858.724067697,3,946490.4867231385
28620069.77676007,18913542.589746732,17123082.98942085,9339669.791025758,38083622.63411288,15475576.745509293,22608045.888603587,10299858.724067697,4,877094.4722690356
28620069.77676007,18913542.589746732,17123082.98942085,9339669.791025758,38083622.63411288,15475576.745509293,22608045.888603587,10299858.724067697,5,856909.4872397521
28620069.77676007,18913542.589746732,17123082.98942085,9339669.791025758,38083622.63411288,15475576.745509293,22608045.888603587,10299858.724067697,6,922057.9189514988
24213735.524907883,16922345.448579967,7085300.441122436,5337515.362998578,14400772.451659814,3254348.4973146096,11146423.954345204,6985094.646393556,1,643025.825754524
24213735.524907883,16922345.448579967,7085300.441122436,5337515.362998578,14400772.451659814,3254348.4973146096,11146423.954345204,6985094.646393556,2,678129.1713314847
24213735.524907883,16922345.448579967,7085300.441122436,5337515.362998578,14400772.451659814,3254348.4973146096,11146423.954345204,6985094.646393556,3,670425.8627157646
24213735.524907883,16922345.448579967,7085300.441122436,5337515.362998578,14400772.451659814,3254348.4973146096,11146423.954345204,6985094.646393556,4,568724.0307154157
24213735.524907883,16922345.448579967,7085300.441122436,5337515.362998578,14400772.451659814,3254348.4973146096,11146423.954345204,6985094.646393556,5,588453.7806369638
24213735.524907883,16922345.448579967,7085300.441122436,5337515.362998578,14400772.451659814,3254348.4973146096,11146423.954345204,6985094.646393556,6,596344.1053588731
17316391.196194407,11618655.579049148,4328700.398585635,2616581.8708942086,15471540.7794216,5151561.583883721,10319979.195537878,5282611.186419153,1,403704.12812289695
17316391.196194407,11618655.579049148,4328700.398585635,2616581.8708942086,15471540.7794216,5151561.583883721,10319979.195537878,5282611.186419153,2,386505.57473099505
17316391.196194407,11618655.579049148,4328700.398585635,2616581.8708942086,15471540.7794216,5151561.583883721,10319979.195537878,5282611.186419153,3,392397.45760063286
17316391.196194407,11618655.579049148,4328700.398585635,2616581.8708942086,15471540.7794216,5151561.583883721,10319979.195537878,5282611.186419153,4,447739.07785659865
17316391.196194407,11618655.579049148,4328700.398585635,2616581.8708942086,15471540.7794216,5151561.583883721,10319979.195537878,5282611.186419153,5,429712.92064939707
17316391.196194407,11618655.579049148,4328700.398585635,2616581.8708942086,15471540.7794216,5151561.583883721,10319979.195537878,5282611.186419153,6,510177.57474598225
19312972.349467818,14392176.631734895,6535410.384429274,4516938.717385259,12591576.09448454,2595924.240702797,9995651.853781743,4807038.781661426,1,350032.9229790489
19312972.349467818,14392176.631734895,6535410.384429274,4516938.717385259,12591576.09448454,2595924.240702797,9995651.853781743,4807038.781661426,2,376215.69426027394
19312972.349467818,14392176.631734895,6535410.384429274,4516938.717385259,12591576.09448454,2595924.240702797,9995651.853781743,4807038.781661426,3,397489.3335178036
