revenue,expenses,currentAssets,currentLiabilities,totalAssets,totalDebt,equity,cashFlow,month_ahead,future_cashFlow
9531785.910894204,6859055.817872461,1214845.2612837667,748547.8326434458,4404170.274709328,1719694.2995445002,2684475.975164828,11291990.7159392,1,967951.5652554361
9531785.910894204,6859055.817872461,1214845.2612837667,748547.8326434458,4404170.274709328,1719694.2995445002,2684475.975164828,11291990.7159392,2,989741.5416958967
9531785.910894204,6859055.817872461,1214845.2612837667,748547.8326434458,4404170.274709328,1719694.2995445002,2684475.975164828,11291990.7159392,3,889284.1523923606
9531785.910894204,6859055.817872461,1214845.2612837667,748547.8326434458,4404170.274709328,1719694.2995445002,2684475.975164828,11291990.7159392,4,1041292.7772534249
9531785.910894204,6859055.817872461,1214845.2612837667,748547.8326434458,4404170.274709328,1719694.2995445002,2684475.975164828,11291990.7159392,5,1025586.0070596127
9531785.910894204,6859055.817872461,1214845.2612837667,748547.8326434458,4404170.274709328,1719694.2995445002,2684475.975164828,11291990.7159392,6,934037.5737656445
2242342.8436076213,1325836.046670846,543691.5884925227,937164.3387569789,864786.4945030443,360041.10045911727,504745.394043927,3547388.2326564332,1,286709.31478348246
2242342.8436076213,1325836.046670846,543691.5884925227,937164.3387569789,864786.4945030443,360041.10045911727,504745.394043927,3547388.2326564332,2,292584.3082059354
2242342.8436076213,1325836.046670846,543691.5884925227,937164.3387569789,864786.4945030443,360041.10045911727,504745.394043927,3547388.2326564332,3,299263.4019256624
2242342.8436076213,1325836.046670846,543691.5884925227,937164.3387569789,864786.4945030443,360041.10045911727,504745.394043927,3547388.2326564332,4,317647.65677304904
2242342.8436076213,1325836.046670846,543691.5884925227,937164.3387569789,864786.4945030443,360041.10045911727,504745.394043927,3547388.2326564332,5,291477.9739188716
2242342.8436076213,1325836.046670846,543691.5884925227,937164.3387569789,864786.4945030443,360041.10045911727,504745.394043927,3547388.2326564332,6,309298.6473449803
941278.9208399784,642200.2091878904,716066.1974875845,1740946.0149356027,2480104.2793345456,1340041.4044904085,1140062.874844137,991801.4022778911,1,79485.90588772962
941278.9208399784,642200.2091878904,716066.1974875845,1740946.0149356027,2480104.2793345456,1340041.4044904085,1140062.874844137,991801.4022778911,2,77253.91052363378
941278.9208399784,642200.2091878904,716066.1974875845,1740946.0149356027,2480104.2793345456,1340041.4044904085,1140062.874844137,991801.4022778911,3,85536.39031042623
941278.9208399784,642200.2091878904,716066.1974875845,1740946.0149356027,2480104.2793345456,1340041.4044904085,1140062.874844137,991801.4022778911,4,82804.75322166178
941278.9208399784,642200.2091878904,716066.1974875845,1740946.0149356027,2480104.2793345456,1340041.4044904085,1140062.874844137,991801.4022778911,5,79036.17250630562
941278.9208399784,642200.2091878904,716066.1974875845,1740946.0149356027,2480104.2793345456,1340041.4044904085,1140062.874844137,991801.4022778911,6,84576.24563707103
9138543.81974843,5278733.570331849,3816529.4799912884,6081336.5362514425,6555242.317248101,2413097.450267875,4142144.8669802262,12874964.939197881,1,1160404.8842320761
9138543.81974843,5278733.570331849,3816529.4799912884,6081336.5362514425,6555242.317248101,2413097.450267875,4142144.8669802262,12874964.939197881,2,1136263.9254720737
9138543.81974843,5278733.570331849,3816529.4799912884,6081336.5362514425,6555242.317248101,2413097.450267875,4142144.8669802262,12874964.939197881,3,1174562.7508475592
9138543.81974843,5278733.570331849,3816529.4799912884,6081336.5362514425,6555242.317248101,2413097.450267875,4142144.8669802262,12874964.939197881,4,1176331.2376677091
9138543.81974843,5278733.570331849,3816529.4799912884,6081336.5362514425,6555242.317248101,2413097.450267875,4142144.8669802262,12874964.939197881,5,1132948.8411010883
9138543.81974843,5278733.570331849,3816529.4799912884,6081336.5362514425,6555242.317248101,2413097.450267875,4142144.8669802262,12874964.939197881,6,1200421.7102433308
2361837.192981879,1212964.4444169332,534565.3174653504,1153311.3180831647,1175460.6559126,571431.8421520225,604028.8137605775,3589272.8748152596,1,288645.41271693964
2361837.192981879,1212964.4444169332,534565.3174653504,1153311.3180831647,1175460.6559126,571431.8421520225,604028.8137605775,3589272.8748152596,2,304075.3111638236
2361837.192981879,1212964.4444169332,534565.3174653504,1153311.3180831647,1175460.6559126,571431.8421520225,604028.8137605775,3589272.8748152596,3,287377.4203913082
2361837.192981879,1212964.4444169332,534565.3174653504,1153311.3180831647,1175460.6559126,571431.8421520225,604028.8137605775,3589272.8748152596,4,322657.7834799824
2361837.192981879,1212964.4444169332,534565.3174653504,1153311.3180831647,1175460.6559126,571431.8421520225,604028.8137605775,3589272.8748152596,5,289511.31184629234
2361837.192981879,1212964.4444169332,534565.3174653504,1153311.3180831647,1175460.6559126,571431.8421520225,604028.8137605775,3589272.8748152596,6,337965.9130438385
461534.10854561103,392813.7213445546,277299.12369889644,566394.7443913617,390249.99615194474,271666.54170761065,118583.45444433407,114566.06374658746,1,9191.007079193256
461534.10854561103,392813.7213445546,277299.12369889644,566394.7443913617,390249.99615194474,271666.54170761065,118583.45444433407,114566.06374658746,2,8691.58190326147
461534.10854561103,392813.7213445546,277299.12369889644,566394.7443913617,390249.99615194474,271666.54170761065,118583.45444433407,114566.06374658746,3,9647.247378164204
461534.10854561103,392813.7213445546,277299.12369889644,566394.7443913617,390249.99615194474,271666.54170761065,118583.45444433407,114566.06374658746,4,9151.384782742458
461534.10854561103,392813.7213445546,277299.12369889644,566394.7443913617,390249.99615194474,271666.54170761065,118583.45444433407,114566.06374658746,5,8592.196125938453
461534.10854561103,392813.7213445546,277299.12369889644,566394.7443913617,390249.99615194474,271666.54170761065,118583.45444433407,114566.06374658746,6,8081.242824847611
3589241.559254097,2580240.624780909,1371748.2996782067,1013980.5568734286,4385596.467170813,1652733.4524046653,2732863.014766148,8031237.917362785,1,704240.2108778877
3589241.559254097,2580240.624780909,1371748.2996782067,1013980.5568734286,4385596.467170813,1652733.4524046653,2732863.014766148,8031237.917362785,2,686477.1147230662
3589241.559254097,2580240.624780909,1371748.2996782067,1013980.5568734286,4385596.467170813,1652733.4524046653,2732863.014766148,8031237.917362785,3,713228.5916806858
3589241.559254097,2580240.624780909,1371748.2996782067,1013980.5568734286,4385596.467170813,1652733.4524046653,2732863.014766148,8031237.917362785,4,686688.9395589512
3589241.559254097,2580240.624780909,1371748.2996782067,1013980.5568734286,4385596.467170813,1652733.4524046653,2732863.014766148,8031237.917362785,5,693664.8355036901
3589241.559254097,2580240.624780909,1371748.2996782067,1013980.5568734286,4385596.467170813,1652733.4524046653,2732863.014766148,8031237.917362785,6,686873.9594322032
1524968.5564363922,776862.8341961973,635186.329466095,1470540.7993722504,1205595.2401522985,454818.4671803359,750776.7729719626,2154281.3149824576,1,177833.5371209533
1524968.5564363922,776862.8341961973,635186.329466095,1470540.7993722504,1205595.2401522985,454818.4671803359,750776.7729719626,2154281.3149824576,2,189622.26639743004
1524968.5564363922,776862.8341961973,635186.329466095,1470540.7993722504,1205595.2401522985,454818.4671803359,750776.7729719626,2154281.3149824576,3,175945.51262137713
1524968.5564363922,776862.8341961973,635186.329466095,1470540.7993722504,1205595.2401522985,454818.4671803359,750776.7729719626,2154281.3149824576,4,173112.10417980386
1524968.5564363922,776862.8341961973,635186.329466095,1470540.7993722504,1205595.2401522985,454818.4671803359,750776.7729719626,2154281.3149824576,5,181127.28734813668
1524968.5564363922,776862.8341961973,635186.329466095,1470540.7993722504,1205595.2401522985,454818.4671803359,750776.7729719626,2154281.3149824576,6,178930.73463048195
413654.17080398765,586024.6407261115,86143.28463770237,196847.5700445806,233461.93590017685,232292.00991415256,1169.9259860242785,-443100.97664871055,1,-36804.36973620313
413654.17080398765,586024.6407261115,86143.28463770237,196847.5700445806,233461.93590017685,232292.00991415256,1169.9259860242785,-443100.97664871055,2,-35338.67455071117
413654.17080398765,586024.6407261115,86143.28463770237,196847.5700445806,233461.93590017685,232292.00991415256,1169.9259860242785,-443100.97664871055,3,-30472.367015435095
413654.17080398765,586024.6407261115,86143.28463770237,196847.5700445806,233461.93590017685,232292.00991415256,1169.9259860242785,-443100.97664871055,4,-27697.010463683942
413654.17080398765,586024.6407261115,86143.28463770237,196847.5700445806,233461.93590017685,232292.00991415256,1169.9259860242785,-443100.97664871055,5,-26488.289088650028
413654.17080398765,586024.6407261115,86143.28463770237,196847.5700445806,233461.93590017685,232292.00991415256,1169.9259860242785,-443100.97664871055,6,-25546.103277376737
1732602.7198521793,1475121.367927774,331196.44290347776,244996.1880282078,710523.1742337359,548746.4081456797,161776.76608805617,-171712.70468914625,1,-15093.58350782088
1732602.7198521793,1475121.367927774,331196.44290347776,244996.1880282078,710523.1742337359,548746.4081456797,161776.76608805617,-171712.70468914625,2,-13487.476247144494
1732602.7198521793,1475121.367927774,331196.44290347776,244996.1880282078,710523.1742337359,548746.4081456797,161776.76608805617,-171712.70468914625,3,-13706.554641519737
1732602.7198521793,1475121.367927774,331196.44290347776,244996.1880282078,710523.1742337359,548746.4081456797,161776.76608805617,-171712.70468914625,4,-13887.752246822613
1732602.7198521793,1475121.367927774,331196.44290347776,244996.1880282078,710523.1742337359,548746.4081456797,161776.76608805617,-171712.70468914625,5,-12947.383785403534
1732602.7198521793,1475121.367927774,331196.44290347776,244996.1880282078,710523.1742337359,548746.4081456797,161776.76608805617,-171712.70468914625,6,-14004.479965294713
163302.03312141387,220233.08242296125,33712.36237827423,57955.888629140434,87905.02754886432,105019.48517386902,-17114.457625004692,-378270.0229310837,1,-27797.323003414025
163302.03312141387,220233.08242296125,33712.36237827423,57955.888629140434,87905.02754886432,105019.48517386902,-17114.457625004692,-378270.0229310837,2,-27365.47483524216
163302.03312141387,220233.08242296125,33712.36237827423,57955.888629140434,87905.02754886432,105019.48517386902,-17114.457625004692,-378270.0229310837,3,-28544.387079479726
163302.03312141387,220233.08242296125,33712.36237827423,57955.888629140434,87905.02754886432,105019.48517386902,-17114.457625004692,-378270.0229310837,4,-24167.164946450568
163302.03312141387,220233.08242296125,33712.36237827423,57955.888629140434,87905.02754886432,105019.48517386902,-17114.457625004692,-378270.0229310837,5,-22298.620184422747
163302.03312141387,220233.08242296125,33712.36237827423,57955.888629140434,87905.02754886432,105019.48517386902,-17114.457625004692,-378270.0229310837,6,-22028.514094604332
158924.87218017518,228226.8873778084,100738.86163976716,124469.53906077352,299240.3887978376,309244.93300473015,-10004.544206892544,-386134.9774104386,1,-31222.11860840461
158924.87218017518,228226.8873778084,100738.86163976716,124469.53906077352,299240.3887978376,309244.93300473015,-10004.544206892544,-386134.9774104386,2,-29125.88958770777
158924.87218017518,228226.8873778084,100738.86163976716,124469.53906077352,299240.3887978376,309244.93300473015,-10004.544206892544,-386134.9774104386,3,-25558.25512887758
158924.87218017518,228226.8873778084,100738.86163976716,124469.53906077352,299240.3887978376,309244.93300473015,-10004.544206892544,-386134.9774104386,4,-27123.366724002724
158924.87218017518,228226.8873778084,100738.86163976716,124469.53906077352,299240.3887978376,309244.93300473015,-10004.544206892544,-386134.9774104386,5,-23441.40523251602
158924.87218017518,228226.8873778084,100738.86163976716,124469.53906077352,299240.3887978376,309244.93300473015,-10004.544206892544,-386134.9774104386,6,-21394.77611515905
6113482.960288297,4299424.934330571,1130947.576543968,2024786.9958033373,1909295.10473146,1134492.1916393484,774802.9130921116,10377111.589708956,1,881784.2090589046
6113482.960288297,4299424.934330571,1130947.576543968,2024786.9958033373,1909295.10473146,1134492.1916393484,774802.9130921116,10377111.589708956,2,845094.4445243126
6113482.960288297,4299424.934330571,1130947.576543968,2024786.9958033373,1909295.10473146,1134492.1916393484,774802.9130921116,10377111.589708956,3,926235.3165795768
6113482.960288297,4299424.934330571,1130947.576543968,2024786.9958033373,1909295.10473146,1134492.1916393484,774802.9130921116,10377111.589708956,4,820285.3329456269
6113482.960288297,4299424.934330571,1130947.576543968,2024786.9958033373,1909295.10473146,1134492.1916393484,774802.9130921116,10377111.589708956,5,853564.1146488837
6113482.960288297,4299424.934330571,1130947.576543968,2024786.9958033373,1909295.10473146,1134492.1916393484,774802.9130921116,10377111.589708956,6,826406.4457124732
444802.70902144146,546649.5473121363,210907.83569229118,328868.83215461683,395913.32387765206,423233.55396088306,-27320.230083231017,-462001.7706116118,1,-34193.968444831175
444802.70902144146,546649.5473121363,210907.83569229118,328868.83215461683,395913.32387765206,423233.55396088306,-27320.230083231017,-462001.7706116118,2,-36852.30539774212
