current_ratio,debt_to_equity,ebitda_margin,icr,dscr,altman_z_score,industry,defaulted_in_12_months
1.6233,1.9682,6.1549,6.4944,3.11,-1.0763,SaaS,0
3.8127,2.3672,3.3038,10.6947,-0.7084,-1.3925,Construction,1
2.9816,4.2727,-7.6692,7.5653,0.4265,4.0419,Retail,1
2.4749,1.7,22.5087,-0.5839,2.643,7.6612,SaaS,0
0.7929,4.3482,13.3637,1.1549,1.3746,3.0272,Retail,0
0.7928,0.4407,40.5991,1.7286,3.17,-1.4848,SaaS,1
0.4207,3.884,-17.7523,2.3837,4.7285,0.2122,SaaS,1
3.4915,4.2377,25.0708,7.6119,-1.1842,0.4479,SaaS,1
2.4842,0.9091,33.4064,6.5674,2.967,1.3786,Logistics,0
2.8907,2.1517,33.1641,1.4537,-0.3876,-1.564,Logistics,1
0.2782,0.8275,42.0252,-0.8516,0.9013,7.0489,SaaS,0
3.8857,3.533,31.0324,0.9143,-1.77,3.1556,SaaS,1
3.3633,2.6767,44.9467,14.7345,-1.0486,4.7093,SaaS,0
1.0069,3.1766,3.286,5.9653,0.2384,-1.3283,SaaS,1
0.8909,0.9824,15.2247,12.7449,0.3939,-1.4588,Construction,1
0.8969,1.0587,-19.0144,12.4288,4.2971,3.8647,Construction,0
1.3561,0.2075,-19.513,6.6958,3.1927,6.873,Construction,0
2.1941,1.6103,-3.1911,10.0137,4.8053,3.2848,Logistics,0
1.8414,2.7987,-12.9435,1.2768,2.1935,6.7782,Retail,0
1.3067,4.2897,-1.7852,9.7027,-0.308,6.1099,SaaS,1
2.525,3.3346,-7.607,2.6305,0.2936,-1.2415,Construction,1
0.7301,2.177,-18.0036,12.1451,0.2389,0.0196,Construction,1
1.3101,4.7656,43.6513,-0.5767,0.2855,4.5771,Construction,1
1.5922,3.5962,-19.4244,11.1434,2.7107,2.435,SaaS,1
1.9331,4.6508,31.5258,-0.3011,1.7157,0.907,SaaS,0
3.1837,2.6379,-9.3496,12.9802,0.698,2.1863,Retail,1
0.9588,1.2945,43.8561,3.1715,-0.9564,2.452,Logistics,0
2.1541,0.2641,42.4957,9.1247,-1.845,7.1055,Retail,0
2.4512,3.6304,25.7731,6.2875,-0.4682,-0.9654,SaaS,0
0.3765,0.6065,27.0564,4.2272,-1.2477,0.7973,Retail,1
2.5087,1.5139,-19.6263,8.9725,3.4981,3.3756,Construction,0
0.848,2.6624,48.941,14.1079,-1.2125,4.9829,Retail,0
0.4472,2.8221,41.4483,-1.2984,3.0696,4.3064,Construction,0
3.8058,3.0029,42.6574,13.6205,0.6996,7.4164,Retail,0
3.8694,0.8313,26.1471,8.3544,-1.4864,5.9561,Construction,0
3.2719,1.8987,4.1351,11.7243,3.6891,3.5708,Retail,1
1.3575,3.086,42.5554,4.5259,2.0574,0.1468,Logistics,1
0.5712,4.8491,0.4062,6.0213,-0.3497,2.5087,Retail,1
2.8001,3.6382,19.3898,12.7705,4.2628,4.9338,SaaS,0
1.8726,4.613,-13.0188,5.0524,-1.6832,6.3796,SaaS,1
0.6637,3.8111,44.5369,7.0892,-0.5873,7.5974,Construction,1
2.0817,2.9586,-10.1461,-1.6567,3.2643,4.0545,SaaS,0
0.3307,0.9601,-4.2572,0.6962,2.9656,3.2692,Construction,0
3.6554,3.3334,19.0694,8.9087,0.0249,-1.8231,Logistics,1
1.1834,3.1169,33.4865,10.1886,-1.5658,-1.279,SaaS,1
2.7176,3.0123,23.3546,7.9042,4.0065,-0.439,SaaS,1
1.3845,2.4489,-3.7506,0.4363,0.1959,-1.4524,Construction,1
2.1763,2.6433,-19.934,5.5719,-0.63,2.0086,Logistics,0
2.2775,1.6722,33.0005,4.0366,1.6124,1.3688,Logistics,0
0.9024,2.5966,48.9645,6.4262,4.3716,4.3735,Retail,0
3.8844,0.9878,36.6939,12.7956,-1.6952,3.3567,Construction,0
3.1455,4.0259,12.2145,11.1896,3.3606,3.9597,Construction,0
3.7701,0.9289,43.2637,-0.5722,2.0073,2.7198,Logistics,0
3.6003,0.4248,8.6893,13.1353,0.9781,0.7774,Construction,1
2.472,2.1812,16.7454,6.02,3.2086,7.5283,SaaS,0
